# 母集団は「機械打ち同士」——@kobalab/majiang-ai の思考を四人とも同じにして、一局戦を10000局打ち切らせた記録（2026-09-14・較正-2）。人の打ち筋ではない。GitHub Actions で 5000局x2本（走り 34812480898・34812494354）を回し、artifact を繋いだもの。
局	席	親	配牌	verdict	borderline	baseShanten	acceptTypes	acceptTiles	widthLabel	goodShapes	weakShapes	totalBlocks	shapeOK	shapeNeeded	hasValue	doraValue	redCount	yakuhaiPair	defHonors	defTerminals	結果	点棒	役	巡目
1	0	1	245688m1568p334s	attack	0	3	21	73	非常に広い	4	0	4	1	4	0	0	0	0	0	1	無関係	0		17
1	1	0	138m1346p117s347z	defend	0	4	16	57	非常に広い	2	1	3	0	4	0	0	0	0	3	4	無関係	0		17
1	2	0	1m2458p145678s14z	defend	0	4	19	67	非常に広い	3	0	3	0	4	0	0	0	0	2	2	和了	6900	立直1・平和1・赤ドラ1	17
1	3	0	79m2357p0699s157z	defend	0	3	7	26	ふつう	3	2	5	0	4	1	1	1	0	3	3	放銃	-3900		17
2	0	1	1888m8p5688s1356z	defend	0	4	16	54	非常に広い	3	0	3	0	4	0	0	0	0	4	1	和了	14000	立直1・七対子2・ドラ2	10
2	1	0	5677m158p47s2235z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	4	1	無関係	0		10
2	2	0	222348m247p18s25z	defend	0	4	21	75	非常に広い	2	1	3	0	4	0	0	0	0	2	1	放銃	-12000		10
2	3	0	11305m0678p7s346z	attack	0	4	22	75	非常に広い	4	0	4	1	3	1	2	2	0	3	2	無関係	0		10
3	0	1	359m2389p2389s66z	defend	0	3	8	30	ふつう	3	3	6	0	4	1	1	0	1	2	3	放銃	-2600		9
3	1	0	148m3066789p446s	attack	1	3	18	64	非常に広い	3	1	4	0	4	1	1	1	0	0	2	和了	3600	立直1・赤ドラ1	9
3	2	0	24m2558p14689s46z	defend	0	4	17	61	非常に広い	1	3	4	0	4	0	0	0	0	2	2	無関係	0		9
3	3	0	348m23479p257s27z	defend	0	3	8	28	ふつう	2	2	4	0	4	0	0	0	0	2	1	無関係	0		9
4	0	1	12378m206p9s2477z	attack	0	3	13	46	広い	4	0	4	1	3	1	2	1	1	4	2	被ツモ	-2600		12
4	1	0	349m144556p239s2z	attack	0	3	15	55	非常に広い	4	0	4	1	4	0	0	0	0	1	3	被ツモ	-1300		12
4	2	0	1123469m69p356s5z	defend	0	4	24	83	非常に広い	3	0	3	0	4	0	0	0	0	1	4	和了	6200	立直1・門前清自摸和1・平和1・裏ドラ1	12
4	3	0	67m146p40678s347z	defend	0	3	10	35	ふつう	3	1	4	0	4	1	1	1	0	3	1	被ツモ	-1300		12
5	0	1	110568m1p8899s37z	attack	0	2	5	15	狭い	4	0	4	1	4	1	1	1	0	2	5	無関係	0		14
5	1	0	148m136p33478s26z	defend	0	5	28	99	非常に広い	2	1	3	0	4	0	0	0	0	2	2	和了	2000	断幺九1・ドラ1	14
5	2	0	379m3558p3067s13z	defend	0	4	23	83	非常に広い	2	1	3	0	4	1	1	1	0	2	1	無関係	0		14
5	3	0	22m3688p67s14577z	defend	0	3	7	21	ふつう	3	0	3	0	4	1	1	0	1	5	0	放銃	-2000		14
6	0	1	127m4599p28s3345z	defend	0	4	24	83	非常に広い	3	1	4	0	4	0	0	0	0	4	3	被ツモ	-6000		13
6	1	0	1m6p2455566788s7z	attack	0	2	11	40	広い	4	0	4	1	4	0	0	0	0	1	1	和了	14000	断幺九1・清一色5	13
6	2	0	2459m26889p17s27z	defend	0	5	26	93	非常に広い	2	0	2	0	4	0	0	0	0	2	3	被ツモ	-3000		13
6	3	0	467m113p1349s247z	defend	0	5	25	87	非常に広い	3	0	3	0	4	0	0	0	0	3	4	被ツモ	-3000		13
7	0	1	26688m24p135s167z	defend	0	4	20	67	非常に広い	2	2	4	0	4	0	0	0	0	3	1	放銃	-2000		7
7	1	0	358m156p14788s34z	defend	0	5	25	87	非常に広い	2	1	3	0	4	0	0	0	0	2	2	無関係	0		7
7	2	0	239m1136p678s556z	attack	0	3	15	52	非常に広い	4	0	4	1	4	1	1	0	1	3	3	和了	2000	翻牌 白1・ドラ1	7
7	3	0	1279m1349p6s3777z	attack	1	3	17	62	非常に広い	2	2	4	0	4	1	1	0	1	4	4	無関係	0		7
8	0	1	19m27899p1458s26z	defend	0	5	25	87	非常に広い	3	0	3	0	4	0	0	0	0	2	5	無関係	0		10
8	1	0	248m14p112899s27z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	2	5	放銃	-2000		10
8	2	0	3366m15678p36s56z	attack	0	4	21	71	非常に広い	4	0	4	1	4	0	0	0	0	2	1	和了	3000	翻牌 白1・ドラ1	10
8	3	0	11245m9p16s12444z	defend	0	4	20	70	非常に広い	3	0	3	0	4	0	0	0	0	5	4	無関係	0		10
9	0	1	27m1233679s2467z	defend	0	5	22	75	非常に広い	2	0	2	0	4	0	0	0	0	4	2	放銃	-1000		11
9	1	0	239m223478p8s466z	attack	0	3	18	63	非常に広い	5	0	5	1	4	1	1	0	1	3	1	無関係	0		11
