# 母集団は「機械打ち同士」——@kobalab/majiang-ai の思考を四人とも同じにして、一局戦を1000局打ち切らせた記録（2026-08-28・較正-1）。人の打ち筋ではない。
局	席	親	配牌	verdict	borderline	baseShanten	acceptTypes	acceptTiles	widthLabel	goodShapes	weakShapes	totalBlocks	shapeOK	shapeNeeded	hasValue	doraValue	redCount	yakuhaiPair	defHonors	defTerminals	結果	点棒	役	巡目
1	0	1	2334779m2479p3s6z	defend	0	3	17	59	非常に広い	3	2	5	0	4	0	0	0	0	1	2	流局	1500		18
1	1	0	246m123p1249s127z	defend	0	4	20	70	非常に広い	1	2	3	0	4	0	0	0	0	3	3	流局	1500		18
1	2	0	1268m458p259s457z	defend	0	5	19	69	非常に広い	1	2	3	0	4	0	0	0	0	3	2	流局	-1500		18
1	3	0	308m4p34567s1566z	attack	0	3	16	57	非常に広い	3	1	4	1	3	1	2	1	1	4	0	流局	-1500		18
2	0	1	3478m378p37899s3z	attack	0	3	21	77	非常に広い	5	0	5	1	4	0	0	0	0	1	2	被ツモ	-6000		10
2	1	0	1145m3489p246s27z	defend	0	3	8	30	ふつう	3	2	5	0	4	0	0	0	0	2	3	和了	13000	立直1・門前清自摸和1・平和1・ドラ2・裏ドラ2	10
2	2	0	12257m05p3s11135z	attack	0	3	15	50	非常に広い	3	1	4	1	3	1	2	1	1	5	1	被ツモ	-3000		10
2	3	0	3378m28p157s3457z	defend	0	5	23	79	非常に広い	2	1	3	0	4	0	0	0	0	4	1	被ツモ	-3000		10
3	0	1	4577m1899p208s26z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	1	0	2	3	無関係	0		13
3	1	0	23m346p24669s556z	attack	0	3	7	24	ふつう	4	1	5	1	4	1	1	0	1	3	1	和了	1000	翻牌 白1	13
3	2	0	1m14679p378s1357z	defend	0	5	19	69	非常に広い	2	0	2	0	4	0	0	0	0	4	3	放銃	-1000		13
3	3	0	3478m1267p678s77z	attack	0	2	8	30	ふつう	5	1	6	1	4	1	1	0	1	2	1	無関係	0		13
4	0	1	346678m457p146s4z	attack	0	3	22	77	非常に広い	4	1	5	1	4	0	0	0	0	1	1	和了	12700	断幺九1・三色同順1・ドラ1・赤ドラ1	15
4	1	0	113778m124678p3z	defend	0	3	17	57	非常に広い	3	1	4	0	4	0	0	0	0	1	3	被ツモ	-3900		15
4	2	0	569m23p1269s4555z	attack	1	3	14	52	非常に広い	3	1	4	0	4	1	1	0	1	4	3	被ツモ	-3900		15
4	3	0	69m24p06678s1247z	attack	1	4	13	45	広い	2	1	3	0	4	1	1	1	0	4	1	被ツモ	-3900		15
5	0	1	3478m36p1247s357z	defend	0	5	24	87	非常に広い	2	1	3	0	4	0	0	0	0	3	1	被ツモ	-3900		6
5	1	0	12207m4446p2305s	attack	0	2	6	20	ふつう	4	1	5	1	3	1	2	2	0	0	1	和了	7900	断幺九1・ドラ1・赤ドラ2	6
5	2	0	445678m69p69s135z	defend	0	5	23	79	非常に広い	3	0	3	0	4	0	0	0	0	3	2	被ツモ	-2000		6
