koushu-handan 探偵編の台詞　抜粋（通読用）
版 v1411 / serifu.txt から二区画をそのまま切り出したもの（本体は未変更）
  ・serifu.txt 7169〜7574 行 … 探偵編の表（ADV_*）
  ・serifu.txt 7624〜7792 行 … 表に入っていない台詞（実行時に組み立てるもの）
各行の先頭の数字は koushu-handan.html の行番号。切り出しても変えていない。
判定カードの方言表（DIALECT_WORDS）は通読済みのため入れていない。
==============================================================================

■ ADV_TALK　［探偵編］　5424行〜
   出る条件 : 部屋での応答（deny=否認／alibi=本人／allyAlibi=味方の証言 ほか）
------------------------------------------------------------------------------
   5425 ｜ 執事　　　 ｜ 雑談(idle) / 執事(butler) ｜ 「物騒な船でございますね。……お茶でもお淹れいたしましょうか」
   5426 ｜ 軍師　　　 ｜ 雑談(idle) / 軍師(strategist) ｜ 「敵は焦っておる。焦った者から尻尾を出すものよ」
   5427 ｜ ずんだもん　　　 ｜ 雑談(idle) / ずんだもん(blunt) ｜ 「知らないのだ。いまはずんだ餅の時間なのだ」
   5428 ｜ お嬢様　　　 ｜ 雑談(idle) / お嬢様(lady) ｜ 「あら……そんなに熱いまなざしで見つめられては、困ってしまいますわ。ふふっ、それとも、わたくしの何が知りたいのかしら？」
   5429 ｜ マダム　　　 ｜ 雑談(idle) / マダム(french) ｜ 「ノン、何も見ていないわ。セ・ラ・ヴィ、船旅は退屈ね」
   5430 ｜ 一姫　　　 ｜ 雑談(idle) / 一姫(ichihime) ｜ 「一姫はなにも知らないにゃ。ごはんはまだかにゃ？」
   5431 ｜ 先生　　　 ｜ 雑談(idle) / 先生(sensei) ｜ 「私に聞くより、現場を調べることです。基本ですよ」
   5434 ｜ 執事　　　 ｜ 雑談（二度目）(idleRepeat) / 執事(butler) ｜ 「その話は、もう申し上げましたが。……ただ、正直に申し上げれば、確認を怠るあの性分だけは、内心よく思っておりませんでした」
   5435 ｜ 軍師　　　 ｜ 雑談（二度目）(idleRepeat) / 軍師(strategist) ｜ 「同じ問い、二度は答えぬ。すでに語ったはずなり。……あの詰めの甘さ、いずれ皆を巻き込むと、ワシは前々から見ておったがな」
   5436 ｜ ずんだもん　　　 ｜ 雑談（二度目）(idleRepeat) / ずんだもん(blunt) ｜ 「もう言ったのだ。……あいつ、ずんだ餅を勝手に食ったことがあるのだ。あれは、いまだに許してないのだ」
   5437 ｜ お嬢様　　　 ｜ 雑談（二度目）(idleRepeat) / お嬢様(lady) ｜ 「あら、それはもうお話ししましたでしょう？……ふふっ。——正直、あの荒っぽい物言いは、好きにはなれませんでしたわ」
   5438 ｜ マダム　　　 ｜ 雑談（二度目）(idleRepeat) / マダム(french) ｜ 「もう言ったわ。同じことを、何度も聞くのね。——マナーのなっていない食べ方、ずっと気に入らなかったの」
   5439 ｜ 一姫　　　 ｜ 雑談（二度目）(idleRepeat) / 一姫(ichihime) ｜ 「それ、もう言ったにゃ。……あいつ、いっつも一姫を怒鳴ってきたにゃ。ちょっと、きらいにゃ」
   5440 ｜ 先生　　　 ｜ 雑談（二度目）(idleRepeat) / 先生(sensei) ｜ 「その件は、すでにお話ししましたよ。……あの雑な仕事ぶりだけは、私の基準では評価に値しませんでしたね」
   5443 ｜ 執事　　　 ｜ 否認(deny) / 執事(butler) ｜ 「事件のことは、何も存じ上げません」
   5444 ｜ 軍師　　　 ｜ 否認(deny) / 軍師(strategist) ｜ 「知らぬな。……軍師を疑うとは、良い目をしておる」
   5445 ｜ ずんだもん　　　 ｜ 否認(deny) / ずんだもん(blunt) ｜ 「知らないのだ。……なんだその目は、なのだ」
   5446 ｜ お嬢様　　　 ｜ 否認(deny) / お嬢様(lady) ｜ 「存じませんわ。……その目つき、少し不愉快ですこと」
   5447 ｜ マダム　　　 ｜ 否認(deny) / マダム(french) ｜ 「ノン・ノン、わたくしは何も。……詮索は、お断りよ」
   5448 ｜ 一姫　　　 ｜ 否認(deny) / 一姫(ichihime) ｜ 「し、知らないにゃ。一姫はずっと寝てたにゃ」
   5449 ｜ 先生　　　 ｜ 否認(deny) / 先生(sensei) ｜ 「何も知りません。……質問は以上ですか？」
   5452 ｜ 執事　　　 ｜ lie / 執事(butler) ｜ 「あの晩は銀器と語らっておりました。スプーンのひとつひとつが、わたくしの無実を映しております」
   5453 ｜ 軍師　　　 ｜ lie / 軍師(strategist) ｜ 「あの晩は軍略を練っておった。碁石に聞くがよい、一子も乱れておらぬ」
   5454 ｜ ずんだもん　　　 ｜ lie / ずんだもん(blunt) ｜ 「あの晩はずんだ餅と語り合ってたのだ。餅が証人なのだ」
   5455 ｜ お嬢様　　　 ｜ lie / お嬢様(lady) ｜ 「あの晩はドレスの手入れをしておりましたわ。裾のレースが全部、見ておりましてよ」
   5456 ｜ マダム　　　 ｜ lie / マダム(french) ｜ 「あの晩はワインと二人きりだったの。ボトルが空いたのが何よりの証拠よ、ウィ」
   5457 ｜ 一姫　　　 ｜ lie / 一姫(ichihime) ｜ 「あの晩はおさかなの夢を見てたにゃ。夢のおさかなが証人にゃ」
   5458 ｜ 先生　　　 ｜ lie / 先生(sensei) ｜ 「あの晩は答案と向き合っておりました。赤ペンの残量が証明しています」
   5461 ｜ 執事　　　 ｜ lock / 執事(butler) ｜ 「ご忠告、痛み入ります。今夜は施錠いたします」
   5462 ｜ 軍師　　　 ｜ lock / 軍師(strategist) ｜ 「承知した。籠城は得意でな」
   5463 ｜ ずんだもん　　　 ｜ lock / ずんだもん(blunt) ｜ 「わかったのだ。鍵をかけるのだ」
   5464 ｜ お嬢様　　　 ｜ lock / お嬢様(lady) ｜ 「まあ……ありがとう存じます。鍵をかけますわ」
   5465 ｜ マダム　　　 ｜ lock / マダム(french) ｜ 「メルシー。今夜は誰も入れないわ、ノン」
   5466 ｜ 一姫　　　 ｜ lock / 一姫(ichihime) ｜ 「わ、わかったにゃ。鍵しめて布団かぶるにゃ」
   5467 ｜ 先生　　　 ｜ lock / 先生(sensei) ｜ 「賢明な忠告です。従いましょう」
   5470 ｜ 執事　　　 ｜ hintSay / 執事(butler) ｜ 「……ひとつ、お耳に入れておきます。{n}様は何かご存じのご様子でした。お話を伺ってみてはいかがでしょう」
   5471 ｜ 軍師　　　 ｜ hintSay / 軍師(strategist) ｜ 「ふむ、ならば耳打ちしよう——{n}は何か知っておるぞ。訊ねてみるがよい」
   5472 ｜ ずんだもん　　　 ｜ hintSay / ずんだもん(blunt) ｜ 「おしえてやるのだ。{n}は、なにか知ってるのだ。……お礼は、あとでずんだ餅でいいのだ」
